ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	Disease comment	subunits(Gene name syn)	SWISSPROT organism	subunits(Gene name)	Complex comment	Subunits comment	PubMed ID
184	Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b)	Rat	None	None	P04775;P21707;Q00954	24766;25716;29686	MI:0006- anti bait coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0006887;GO:0050896;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	20.01.01.01;20.03.01.01;20.09.16.09.03;36.25;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached	Sodium channel protein type 2 subunit alpha ;Synaptotagmin-1 ;Sodium channel subunit beta-1	None	Scn2a1;;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Scn2a;Syt1;Scn1b	The results imply that synaptotagmin can associate with voltage-gated ion channels dependent on and independently of SNARE protein interactions.	None	10737807
185	Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b)	Rat	None	None	P04775;P29101;Q00954	24766;24805;29686	MI:0006- anti bait coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0006887;GO:0050896;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	20.01.01.01;20.03.01.01;20.09.16.09.03;36.25;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached	Sodium channel protein type 2 subunit alpha ;Synaptotagmin-2 ;Sodium channel subunit beta-1	None	Scn2a1;;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Scn2a;Syt2;Scn1b	The results imply that synaptotagmin can associate with voltage-gated ion channels dependent on and independently of SNARE protein interactions.	None	10737807
186	Wave-2 complex	Human	None	None	Q7L576;Q8IZP0;Q8WUW1;Q9Y2A7;Q9Y6W5	23191;10006;55845;10787;10163	MI:0029- cosedimentation through density gradients; MI:0091- chromatography technologies	GO:0007264;GO:0016477;GO:0030036;GO:0015629	small GTPase mediated signal transduction;cell migration;actin cytoskeleton organization;actin cytoskeleton	30.01.05.05.01;34.05.01;42.04.03;70.04.03	small GTPase mediated signal transduction;cell migration;actin cytoskeleton;actin cytoskeleton	Cytoplasmic FMR1-interacting protein 1 ;Abl interactor 1 ;Protein BRICK1 ;Nck-associated protein 1 ;Wiskott-Aldrich syndrome protein family member 2	None	KIAA0068;SSH3BP1;C3orf10;HEM2 KIAA0587 NAP1;WAVE2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CYFIP1;ABI1;BRK1;NCKAP1;WASF2	Proteins are only present in the complexed form, with the exception of Hspc (C3orf10). The complex is organized around a core of Nap and Abi. Sra is a peripheral subunit recruited on the Nap side, whereas the Wave and Hspc subunits are recruited on the Abi side of the core.	None	15070726
187	Wave-2 complex (Rac-activated)	Mouse	None	None	P28660;Q7TMB8;Q8BH43;Q8BPG5;Q8CBW3	50884;20430;242687;19353;11308	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0007264;GO:0006928;GO:0030036;GO:0015629	small GTPase mediated signal transduction;movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton	30.01.05.05.01;34.05;42.04.03;70.04.03	small GTPase mediated signal transduction;cell motility;actin cytoskeleton;actin cytoskeleton	Nck-associated protein 1 ;Cytoplasmic FMR1-interacting protein 1 ;Wiskott-Aldrich syndrome protein family member 2 ;Putative uncharacterized protein;Abl interactor 1	None	Hem2 Kiaa0587 Nap1;Kiaa0068 Shyc Sra1;Wave2;;Ssh3bp1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Nckap1;Cyfip1;Wasf2;Rac1;Abi1	The complex is constitutively assembled in the presence and absence of active Rac in vivo. The authors show that Sra-1 and Nap1 colocalize with Abi-1 and WAVE2 at the interface between the lamellipodial actin meshwork and the membrane. These proteins form stable complexes in vivo that can be immunoprecipitated from resting cells, upon Rac activation by AlF treatment and upon overexpression of constitutively active Rac.	None	14765121
188	Wave-2 complex	Mouse	None	None	P28660;Q7TMB8;Q8BH43;Q8CBW3	50884;20430;242687;11308	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0007264;GO:0006928;GO:0030036;GO:0015629	small GTPase mediated signal transduction;movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton	30.01.05.05.01;34.05;42.04.03;70.04.03	small GTPase mediated signal transduction;cell motility;actin cytoskeleton;actin cytoskeleton	Nck-associated protein 1 ;Cytoplasmic FMR1-interacting protein 1 ;Wiskott-Aldrich syndrome protein family member 2 ;Abl interactor 1	None	Hem2 Kiaa0587 Nap1;Kiaa0068 Shyc Sra1;Wave2;Ssh3bp1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Nckap1;Cyfip1;Wasf2;Abi1	The complex is constitutively assembled in the presence and absence of active Rac in vivo. The authors show that Sra-1 and Nap1 colocalize with Abi-1 and WAVE2 at the interface between the lamellipodial actin meshwork and the membrane. These proteins form stable complexes in vivo that can be immunoprecipitated from resting cells, upon Rac activation by AlF treatment and upon overexpression of constitutively active Rac.	None	14765121
189	BAF complex	Human	SWI/SNF complex A	None	O14497;O94805;O96019;P51531;P51532;P60709;P63261;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q969G3;Q96GM5	8289;51412;86;6595;6597;60;71;6598;57492;6601;6599;6605;6602	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005634	DNA topological change;positive regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus	10.01.09.05;11.02.03.04.01;16.03.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;organization of chromosome structure;nucleus	AT-rich interactive domain-containing protein 1A ;Actin-like protein 6B ;Actin-like protein 6A ;Probable global transcription activator SNF2L2 ;Transcription activator BRG1 ;Actin, cytoplasmic 1 ;Actin, cytoplasmic 2 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;AT-rich interactive domain-containing protein 1B ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	None	BAF250 BAF250A C1orf4 OSA1 SMARCF1;ACTL6 BAF53B;BAF53 BAF53A INO80K;BAF190B BRM SNF2A SNF2L2;BAF190A BRG1 SNF2B SNF2L4;;ACTG;BAF47 INI1 SNF5L1;BAF250B DAN15 KIAA1235 OSA2;BAF170;BAF155;BAF57;BAF60A	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ARID1A;ACTL6B;ACTL6A;SMARCA2;SMARCA4;ACTB;ACTG1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCE1;SMARCD1	None	At the time of annotation, the additional member BAF110 of the protein complex was not found in the UniProt database.	11078522
190	Mitotic checkpoint complex (MCC)	Human	APC/C inhibitory factor	None	O43684;O60566;Q12834;Q13257	9184;701;991;4085	MI:0071- molecular sieving; MI:0006- anti bait coimmunoprecipitation; MI:0096- pull down	GO:0000075	cell cycle checkpoint	10.03.01.03	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle)	Mitotic checkpoint protein BUB3;Mitotic checkpoint serine/threonine-protein kinase BUB1 beta ;Cell division cycle protein 20 homolog ;Mitotic spindle assembly checkpoint protein MAD2A	None	;BUBR1 MAD3L SSK1;;MAD2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BUB3;BUB1B;CDC20;MAD2L1	MCC inhibitory activity is 3,000-fold greater than that of recombinant MAD2, MCC is not generated from kinetochores, as it is also present and active in interphase cells.	None	11535616
191	20S proteasome	Human	None	None	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q99436	5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5695	MI:0029- cosedimentation through density gradients	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	Proteasome subunit alpha type-7 ;Proteasome subunit beta type-1 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-2 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-4 ;Proteasome subunit alpha type-5 ;Proteasome subunit beta type-4 ;Proteasome subunit beta type-6 ;Proteasome subunit beta type-5 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;Proteasome subunit alpha type-6 ;Proteasome subunit beta type-7	None	HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;;PROS26;LMPY Y;LMPX MB1 X;;;PROS27;Z	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSMB7	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	7811265
192	PA28-20S proteasome	Human	None	None	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q06323;Q99436;Q9UL46	5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721	MI:0029- cosedimentation through density gradients	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	Proteasome subunit alpha type-7 ;Proteasome subunit beta type-1 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-2 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-4 ;Proteasome subunit alpha type-5 ;Proteasome subunit beta type-4 ;Proteasome subunit beta type-6 ;Proteasome subunit beta type-5 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;Proteasome subunit alpha type-6 ;Proteasome activator complex subunit 1 ;Proteasome subunit beta type-7 ;Proteasome activator complex subunit 2	None	HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;;PROS26;LMPY Y;LMPX MB1 X;;;PROS27;IFI5111;Z;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	11676531
193	PA700-20S-PA28 complex	Human	proteasome	None	O00231;O00232;O00233;O00487;O14818;O43242;O75832;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P48556;P49720;P49721;P51665;P55036;P60900;P62191;P62195;P62333;Q06323;Q13200;Q15008;Q16401;Q99436;Q99460;Q9UL46;Q9UNM6	5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719	MI:0029- cosedimentation through density gradients	GO:0043161;GO:0006511;GO:0005515;GO:0051098;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;regulation of binding;peptidase activator activity	14.13.01.01;16.01;18.01.07;18.02.01.01.03	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;regulation by binding / dissociation;protease activator	26S proteasome non-ATPase regulatory subunit 11 ;26S proteasome non-ATPase regulatory subunit 12 ;26S proteasome non-ATPase regulatory subunit 9 ;26S proteasome non-ATPase regulatory subunit 14 ;Proteasome subunit alpha type-7 ;26S proteasome non-ATPase regulatory subunit 3 ;26S proteasome non-ATPase regulatory subunit 10 ;26S protease regulatory subunit 6A ;Proteasome subunit beta type-1 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-2 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-4 ;Proteasome subunit alpha type-5 ;Proteasome subunit beta type-4 ;Proteasome subunit beta type-6 ;Proteasome subunit beta type-5 ;26S protease regulatory subunit 7 ;26S protease regulatory subunit 6B ;26S proteasome non-ATPase regulatory subunit 8 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;26S proteasome non-ATPase regulatory subunit 7 ;26S proteasome non-ATPase regulatory subunit 4 ;Proteasome subunit alpha type-6 ;26S protease regulatory subunit 4 ;26S protease regulatory subunit 8 ;26S protease regulatory subunit 10B ;Proteasome activator complex subunit 1 ;26S proteasome non-ATPase regulatory subunit 2 ;26S proteasome non-ATPase regulatory subunit 6 ;26S proteasome non-ATPase regulatory subunit 5 ;Proteasome subunit beta type-7 ;26S proteasome non-ATPase regulatory subunit 1 ;Proteasome activator complex subunit 2 ;26S proteasome non-ATPase regulatory subunit 13	None	;;;POH1;HSPC;;;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;;;;MOV34L;MCB1;PROS27;;SUG1;SUG2;IFI5111;TRAP2;KIAA0107 PFAAP4;KIAA0072;Z;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	11676531
194	PA28gamma-20S proteasome	Human	None	None	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;P61289;Q99436	5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;10197;5695	MI:0029- cosedimentation through density gradients	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	Proteasome subunit alpha type-7 ;Proteasome subunit beta type-1 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-2 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-4 ;Proteasome subunit alpha type-5 ;Proteasome subunit beta type-4 ;Proteasome subunit beta type-6 ;Proteasome subunit beta type-5 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;Proteasome subunit alpha type-6 ;Proteasome activator complex subunit 3 ;Proteasome subunit beta type-7	None	HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;;PROS26;LMPY Y;LMPX MB1 X;;;PROS27;;Z	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	7811265
